ประเภทรถไฟ,เส้นทางต้นทาง,รหัสสถานีต้นทาง,สถานีต้นทาง,เส้นทางปลายทาง,รหัสสถานีปลายทาง,สถานีปลายทาง,ค่าโดยสารหน่วยบาท,,
รถไฟฟ้า ,สายสุขุมวิท,N23,Yaek Kor Por Aor,สายสุขุมวิท,E12,Udom Suk,62,,
รถไฟฟ้า ,สายสุขุมวิท,N23,Yaek Kor Por Aor,สายสุขุมวิท,E13,Bang Na,62,,
รถไฟฟ้า ,สายสุขุมวิท,N23,Yaek Kor Por Aor,สายสุขุมวิท,E14,Bearing,62,,
รถไฟฟ้า ,สายสุขุมวิท,N23,Yaek Kor Por Aor,สายสุขุมวิท,E15,Samrong,62,,
รถไฟฟ้า ,สายสุขุมวิท,N23,Yaek Kor Por Aor,สายสุขุมวิท,E16,Pu Chao,62,,
รถไฟฟ้า ,สายสุขุมวิท,N23,Yaek Kor Por Aor,สายสุขุมวิท,E17,Chang Erawan,62,,
รถไฟฟ้า ,สายสุขุมวิท,N23,Yaek Kor Por Aor,สายสุขุมวิท,E18,Royal Thai Naval Academy,62,,
รถไฟฟ้า ,สายสุขุมวิท,N23,Yaek Kor Por Aor,สายสุขุมวิท,E19,Pak Nam,62,,
รถไฟฟ้า ,สายสุขุมวิท,N23,Yaek Kor Por Aor,สายสุขุมวิท,E20,Srinagarindra,62,,
รถไฟฟ้า ,สายสุขุมวิท,N23,Yaek Kor Por Aor,สายสุขุมวิท,E21,Phraek Sa,62,,
รถไฟฟ้า ,สายสุขุมวิท,N23,Yaek Kor Por Aor,สายสุขุมวิท,E22,Sai Luat,62,,
รถไฟฟ้า ,สายสุขุมวิท,N23,Yaek Kor Por Aor,สายสุขุมวิท,E23,Kheha,62,,
รถไฟฟ้า ,สายสุขุมวิท,N23,Yaek Kor Por Aor,สายสีลม,W1,National Stadium,47,,
รถไฟฟ้า ,สายสุขุมวิท,N23,Yaek Kor Por Aor,สายสีลม,S1,Ratchadamri,47,,
รถไฟฟ้า ,สายสุขุมวิท,N23,Yaek Kor Por Aor,สายสีลม,S2,Sala Daeng,47,,
รถไฟฟ้า ,สายสุขุมวิท,N23,Yaek Kor Por Aor,สายสีลม,S3,Chong Nonsi,47,,
รถไฟฟ้า ,สายสุขุมวิท,N23,Yaek Kor Por Aor,สายสีลม,S4,Saint Louis,47,,
รถไฟฟ้า ,สายสุขุมวิท,N23,Yaek Kor Por Aor,สายสีลม,S5,Surasak,47,,
รถไฟฟ้า ,สายสุขุมวิท,N23,Yaek Kor Por Aor,สายสีลม,S6,Saphan Taksin,47,,
รถไฟฟ้า ,สายสุขุมวิท,N23,Yaek Kor Por Aor,สายสีลม,S7,Krung Thon Buri,47,,
รถไฟฟ้า ,สายสุขุมวิท,N23,Yaek Kor Por Aor,สายสีลม,S8,Wongwian Yai,47,,
รถไฟฟ้า ,สายสุขุมวิท,N23,Yaek Kor Por Aor,สายสีลม,S9,Pho Nimit,62,,
รถไฟฟ้า ,สายสุขุมวิท,N23,Yaek Kor Por Aor,สายสีลม,S10,Talat Phlu,62,,
รถไฟฟ้า ,สายสุขุมวิท,N23,Yaek Kor Por Aor,สายสีลม,S11,Wutthakat,62,,
รถไฟฟ้า ,สายสุขุมวิท,N23,Yaek Kor Por Aor,สายสีลม,S12,Bang Wa,62 ,,
รถไฟฟ้า ,สายสุขุมวิท,N22,Royal Thai Air Force Museum,สายสุขุมวิท,N24,Khu Khot, 0,,
รถไฟฟ้า ,สายสุขุมวิท,N22,Royal Thai Air Force Museum,สายสุขุมวิท,N23,Yaek Kor Por Aor,0,,
รถไฟฟ้า ,สายสุขุมวิท,N22,Royal Thai Air Force Museum,สายสุขุมวิท,N22,Royal Thai Air Force Museum,0,,
รถไฟฟ้า ,สายสุขุมวิท,N22,Royal Thai Air Force Museum,สายสุขุมวิท,N21,Bhumibol Adulyadej Hospital,0,,
